epoch,val_loss_dataset,sharpness_stdE,sharpness_rangeE,align_cos,onpolicy_pred_loss,planning_final_dist_mean,planning_delta_per_step
0,-1,0.023104482516646384,0.07856579422950745,0.9879423814745454,0.43634500086307526,0.13862920208362492,0.014314664965466602
5,0.51313,0.024397352561354637,0.08837493777275085,0.9998249591778121,0.4606542080640793,0.13019938551235383,0.016000628771819826
10,0.49652,0.030543073788285257,0.10577448129653931,0.8375300140350075,0.47114331245422364,0.14487836890381667,0.013064831361682154
15,0.48925,0.027921389788389206,0.09410762548446655,0.5153187607636718,0.4453438037633896,0.1526076001518032,0.011518986270823922
20,0.48341,0.026447291299700738,0.08701964259147645,0.6920216337239263,0.44402217388153076,0.15121888479781778,0.011796728427488747
25,0.48327,0.02545707330107689,0.0791026759147644,0.6697207537116947,0.44941827476024626,0.1722644061633485,0.007587625165466557
30,0.48115,0.020021765790879727,0.06651943206787109,0.4175232594821556,0.4397359883785248,0.19371435070969714,0.003297632718077938
35,0.47898,0.018968815505504607,0.06723196029663087,0.38083497848766584,0.4444428712129593,0.21250003173815593,-0.00044329347993231414
40,0.47321,0.01824133053421974,0.059711031913757324,0.6620494292684111,0.4369630438089371,0.20982041041544833,9.334999424042034e-05
45,0.47873,0.01854290496557951,0.05922194838523865,0.2904961278043802,0.4301005393266678,0.22315174173806313,-0.002576592469093755
50,0.47464,0.017034794986248016,0.057479708194732665,0.4913622556380999,0.4366748261451721,0.2663508111907079,-0.011214947318177381
55,0.47316,0.017193165645003318,0.05792963862419129,0.0883929202232458,0.44305278837680817,0.2416425152208945,-0.006275490631643583
