axis,metric,episode_id,seed,step_0,step_1,step_2,step_3,step_4,step_5,final_cart_err,success_5cm,success_10cm,latent_dist_0,latent_dist_1,latent_dist_2,latent_dist_3,latent_dist_4,latent_dist_5
z,l1,1,,0.22899341523494027,0.19170101416740157,0.16850972878049766,0.2018393956648557,0.20618154569242209,0.16014384214492533,0.16014384214492533,False,False,0.4804946482181549,0.4422435462474823,0.41225260496139526,0.3900812566280365,0.3994218409061432,0.37277907133102417
z,l1,2,,0.22899341523494027,0.19195035303610367,0.1728200533571767,0.20608510741085226,0.20926689423562692,0.266806518090926,0.266806518090926,False,False,0.4806143641471863,0.4390615224838257,0.40165504813194275,0.37691524624824524,0.3912791907787323,0.38786178827285767
z,l1,3,,0.22899341523494027,0.1918403874683232,0.17752772007377227,0.18306094641365014,0.14418834861930221,0.0845607492111824,0.0845607492111824,False,True,0.48053520917892456,0.4384186565876007,0.3982906937599182,0.386787086725235,0.38729989528656006,0.346463680267334
z,l1,4,,0.22899341523494027,0.19154403871432674,0.17039806964127174,0.20335761573709477,0.2059777045005068,0.21167185904542649,0.21167185904542649,False,False,0.48073938488960266,0.4405803084373474,0.41059041023254395,0.3789227306842804,0.38723182678222656,0.39112621545791626
z,l1,5,,0.22899341523494027,0.1914734772271829,0.1715900993354825,0.14199845547765394,0.08331316654378906,0.10995515242561776,0.10995515242561776,False,False,0.48013705015182495,0.4399699866771698,0.4071599841117859,0.39419275522232056,0.3537435531616211,0.37122371792793274
z,l1,6,,0.22899341523494027,0.19174578165391898,0.17058173444543062,0.2016068403146959,0.20295398429123473,0.15866135755466346,0.15866135755466346,False,False,0.48063135147094727,0.437649130821228,0.4023416340351105,0.381927490234375,0.39085087180137634,0.3870379328727722
z,l1,7,,0.22899341523494027,0.19151736644739253,0.1718621041093134,0.2051326307497493,0.20855393944643966,0.16724888194413517,0.16724888194413517,False,False,0.4805724620819092,0.4404931962490082,0.40612974762916565,0.37606552243232727,0.392971396446228,0.38281485438346863
z,l1,8,,0.22899341523494027,0.19162241755062834,0.17191604476352376,0.20085541068465382,0.1616553901862935,0.11843494818919671,0.11843494818919671,False,False,0.48057079315185547,0.44297289848327637,0.40558695793151855,0.37913626432418823,0.375190407037735,0.3709295988082886
z,l1,9,,0.22899341523494027,0.19187603957961832,0.1778105343277011,0.21062550390409338,0.16975067224331303,0.11859621848209448,0.11859621848209448,False,False,0.4805888831615448,0.4375877380371094,0.3960295617580414,0.3827163279056549,0.3829754590988159,0.34309354424476624
x,cosine,0,42.0,0.2299687030636974,0.19784375528111323,0.2085509262984624,0.18336983972379992,0.16688218396302376,0.162387089482414,0.162387089482414,False,False,0.4558563828468323,0.4068037271499634,0.3484332859516144,0.3141876459121704,0.30884695053100586,0.30105745792388916
x,cosine,1,43.0,0.2299687030636974,0.197853625384349,0.20992767773599408,0.1864955558792886,0.169595590648203,0.16404883862851521,0.16404883862851521,False,False,0.45605242252349854,0.4067278504371643,0.3459870517253876,0.31363773345947266,0.31734299659729004,0.2924128770828247
x,cosine,2,44.0,0.2299687030636974,0.19778396910432128,0.20735233138542206,0.18457068729452764,0.16587824690473066,0.16560702117132606,0.16560702117132606,False,False,0.45607227087020874,0.4059986472129822,0.3459196388721466,0.313478946685791,0.30671462416648865,0.2978096306324005
x,cosine,3,45.0,0.2299687030636974,0.19784530807551268,0.20939275978638286,0.18681159075316625,0.1652086403982085,0.1654219740237275,0.1654219740237275,False,False,0.4560461640357971,0.4063049852848053,0.3479820191860199,0.3175904154777527,0.29931995272636414,0.3068430721759796
x,cosine,4,46.0,0.2299687030636974,0.19786910021539936,0.21024370873478923,0.18542994309435526,0.16999968670607166,0.1624756191643026,0.1624756191643026,False,False,0.45600807666778564,0.40633273124694824,0.34682562947273254,0.31147339940071106,0.3116264343261719,0.29105043411254883
x,cosine,5,47.0,0.2299687030636974,0.19790299715900925,0.21041335950820184,0.1852749853501287,0.16264922015518313,0.16243313545085739,0.16243313545085739,False,False,0.45608943700790405,0.4062296152114868,0.35209861397743225,0.31048765778541565,0.3000509440898895,0.29761049151420593
x,cosine,6,48.0,0.2299687030636974,0.19786746679770423,0.20991338463444525,0.18719995474589213,0.16417995863759471,0.16289896681991428,0.16289896681991428,False,False,0.4560709595680237,0.40621230006217957,0.3467998504638672,0.3188566565513611,0.30208107829093933,0.2963934540748596
x,cosine,7,49.0,0.2299687030636974,0.1977616869974324,0.20818476496569502,0.19098685229393458,0.17071405622378633,0.17039136117182763,0.17039136117182763,False,False,0.45590776205062866,0.40573397278785706,0.343629390001297,0.31263992190361023,0.31569942831993103,0.30070948600769043
x,cosine,8,50.0,0.2299687030636974,0.1978516211622816,0.20870517906359037,0.18436753005315085,0.16878768364599586,0.16685295524597982,0.16685295524597982,False,False,0.45624256134033203,0.4068295657634735,0.35168981552124023,0.30990660190582275,0.3129032552242279,0.3017062544822693
x,cosine,9,51.0,0.2299687030636974,0.19787244200046336,0.21006757660430123,0.18862065228189193,0.16511266031993904,0.16253538786022306,0.16253538786022306,False,False,0.45586958527565,0.4051228165626526,0.3466750979423523,0.31862422823905945,0.3076118230819702,0.3009491264820099
y,cosine,0,42.0,0.20431216009748618,0.18653155022245538,0.15974739508495095,0.09602497587428582,0.09232270644757294,0.0976916154646322,0.0976916154646322,False,True,0.39265671372413635,0.4569522738456726,0.4582388997077942,0.40386608242988586,0.38586118817329407,0.38474828004837036
y,cosine,1,43.0,0.20431216009748618,0.18692175915934905,0.16237300856397285,0.09386387006577139,0.09562200273246418,0.09718909738169446,0.09718909738169446,False,True,0.3925434947013855,0.45874303579330444,0.4700150191783905,0.3981477618217468,0.389536589384079,0.38388076424598694
y,cosine,2,44.0,0.20431216009748618,0.1869826325209618,0.16062284372636756,0.09376044446354238,0.09534626128413679,0.09682325916973032,0.09682325916973032,False,True,0.3930026888847351,0.4630068242549896,0.4589683413505554,0.3933771252632141,0.387334942817688,0.389175146818161
y,cosine,3,45.0,0.20431216009748618,0.18680328682057812,0.1586746408456388,0.09736375762358708,0.09222204607961815,0.09505786115099189,0.09505786115099189,False,True,0.39266031980514526,0.45822572708129883,0.4602775573730469,0.40793269872665405,0.3824682831764221,0.3768974244594574
y,cosine,4,46.0,0.20431216009748618,0.18705538176759512,0.16235249951474237,0.10106290913433533,0.09211051793318133,0.0977837471645804,0.0977837471645804,False,True,0.39235907793045044,0.4618937373161316,0.46066519618034363,0.40742895007133484,0.3857194781303406,0.3811118006706238
y,cosine,5,47.0,0.20431216009748618,0.18683655287316728,0.16067795013366745,0.10955228652105202,0.09639298898312712,0.09557782620694377,0.09557782620694377,False,True,0.39233890175819397,0.4568711519241333,0.46510595083236694,0.4110676646232605,0.39189717173576355,0.37861403822898865
y,cosine,6,48.0,0.20431216009748618,0.18703945984386394,0.16173921608905795,0.10916184404960226,0.09819740358077936,0.09748752881321623,0.09748752881321623,False,True,0.3923490047454834,0.46150633692741394,0.45710909366607666,0.413498193025589,0.3904653787612915,0.37683039903640747
y,cosine,7,49.0,0.20431216009748618,0.18697496851703568,0.16214685019404765,0.09468573797443884,0.08807441554558702,0.09455029187391746,0.09455029187391746,False,True,0.3927794396877289,0.4613473415374756,0.46097883582115173,0.39305564761161804,0.37937599420547485,0.37628981471061707
