target_pos,target_distance,initial_distance,start_ee_pos,final_ee_pos,absolute_error,relative_error,max_distance_during_trajectory,min_distance_during_trajectory,ik_err_norm,ik_steps,ik_success,joint_displacement,num_trajectory_steps,radius,sample_idx
"[-0.008866621516073626, 0.3908909461301774, 0.9931083994544385]",0.05000000000000002,0.05000000000000002,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.007276099394834404, 0.3610762837167092, 0.9605906744541609]",0.04414573925806321,0.882914785161264,0.08241448355166538,0.04414573925806321,1.478792829099436e-05,2,True,0.1717421471110297,1751,0.05,23
"[-0.027134998440019542, 0.333410184995414, 0.9595870428892102]",0.050000000000000024,0.050000000000000024,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.02382264582744601, 0.3038914419027581, 0.9345854001729699]",0.038825378454186085,0.7765075690837213,0.04997798625612922,0.03201918440366756,1.508680328086465e-05,2,True,0.12257508375102445,1751,0.05,24
"[0.05101252902361674, 0.33670991162261504, 1.018614879672769]",0.05000000000000004,0.05000000000000004,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.048684941964665655, 0.3097613528459107, 0.9906933704392156]",0.03887483967218248,0.777496793443649,0.07081833559645963,0.03887217432077348,1.3822332252679985e-05,2,True,0.14675152918654932,1751,0.05,25
"[0.0385106946766057, 0.333257077276848, 1.0305843323794224]",0.05000000000000002,0.05000000000000002,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.03735630482012303, 0.30701327788118277, 1.0026609714309738]",0.038337758271944036,0.7667551654388804,0.07402681505513041,0.03833457805837001,1.8134975280404704e-05,2,True,0.18503143873012642,1751,0.05,26
"[-0.011894682235128351, 0.3291534758964185, 1.0332890208389691]",0.04999999999999997,0.04999999999999997,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.008887741055340813, 0.303328118196096, 1.005869567151236]",0.03778646895572601,0.7557293791145206,0.07383635909974234,0.037783745873577905,2.343159867496587e-05,2,True,0.21209376394468502,1751,0.05,27
"[0.043739113239664326, 0.365591511761577, 0.9606998835785721]",0.04999999999999997,0.04999999999999997,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.041302507646830425, 0.33488297427950403, 0.9318711519256584]",0.04219060428363899,0.8438120856727803,0.05950581500640388,0.04108889259448139,3.721374540806155e-05,2,True,0.2022517678634837,1751,0.05,28
"[0.05499396975765152, 0.3577749057384002, 0.9736346304129839]",0.05,0.05,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.05182442380384142, 0.327971130641003, 0.9451189889349451]",0.041369709214757605,0.8273941842951521,0.061491157960634465,0.041096112753151594,3.3520985227227205e-05,2,True,0.15441598940308132,1751,0.05,29
"[-0.02400147494378259, 0.3732671702484708, 0.9682365005140471]",0.04999999999999998,0.04999999999999998,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.021329808891326484, 0.3427321518289969, 0.9385419696436327]",0.042676578037460416,0.8535315607492087,0.06682225160369222,0.04259334401915851,3.987271508684591e-05,2,True,0.19596029392422992,1751,0.05,30
"[0.03276736604694831, 0.3024795525463384, 0.9767769300060164]",0.04999999999999999,0.04999999999999999,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.0314326882979766, 0.274561853332659, 0.9539711055533796]",0.03607332703041907,0.7214665406083816,0.049977276641535597,0.02168424968075009,2.31927950205773e-05,2,True,0.1261611368799897,1751,0.05,31
"[0.00040108812698600935, 0.39351930182075046, 0.9953712056524824]",0.04999999999999999,0.04999999999999999,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.001342485932370515, 0.36374232333506906, 0.9624633844969737]",0.04439008189638382,0.8878016379276766,0.08398012139168683,0.04439008189638382,4.955357042204607e-06,2,True,0.1720703364418106,1751,0.05,32
"[0.035235764108651556, 0.37547975928201033, 1.0213212954120614]",0.049999999999999975,0.049999999999999975,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.034069801714576034, 0.34759573489490925, 0.9894779657616393]",0.042342365634790644,0.8468473126958133,0.08596988525814735,0.042342365634790644,2.5039350410069073e-05,2,True,0.08279077888026917,1751,0.05,33
"[0.020173643925101813, 0.3497759004147429, 1.0397902909967092]",0.049999999999999954,0.049999999999999954,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.020479291955544154, 0.3236099391609369, 1.010092238760259]",0.039581880396124515,0.791637607922491,0.08332785335435654,0.039579984474481605,8.84841459587282e-06,2,True,0.15082941807579142,1751,0.05,34
"[0.015582172678131268, 0.30512575879356085, 0.9609731654900747]",0.05000000000000002,0.05000000000000002,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.015568577931749365, 0.27649279677294114, 0.9387310385806862]",0.03625684636513118,0.7251369273026234,0.04996883911993301,0.0052807693798584045,1.2380614291491853e-05,2,True,0.07703457760669832,1751,0.05,35
"[0.048792032223195524, 0.3459856738121784, 1.022647740182141]",0.050000000000000065,0.050000000000000065,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.04668596739191433, 0.31898822451430037, 0.9936948683221067]",0.03964298887077786,0.7928597774155561,0.07593162521287387,0.039641166522264216,6.8756479482390265e-06,2,True,0.12866231373470274,1751,0.05,36
"[-0.001878345125499066, 0.30181578070590265, 1.0140023141407561]",0.049999999999999954,0.049999999999999954,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.0004694864150399207, 0.27571988393588015, 0.9897268047839407]",0.03571846155291762,0.714369231058353,0.05324464855920723,0.03450139068877672,3.167465234525624e-05,2,True,0.2520232461403924,1751,0.05,37
"[0.013512115280814982, 0.31868912698091906, 0.9485060625100665]",0.05,0.05,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.013455033632508087, 0.2890925809602172, 0.9254344681782455]",0.03752675391880054,0.7505350783760107,0.049965598598541536,0.010634793225306855,2.0251121699780217e-05,2,True,0.0998998348229922,1751,0.05,38
"[-0.01014010507705657, 0.36949716642454816, 0.9526885032891704]",0.05000000000000001,0.05000000000000001,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.008595836505884587, 0.3382944178596613, 0.9239529150722929]",0.04244679391418635,0.8489358782837269,0.058273051330237184,0.04054875026944642,3.22449198512705e-05,2,True,0.22788372077380548,1751,0.05,39
"[0.041632174292143706, 0.3079134006735247, 1.0034314100194133]",0.05000000000000002,0.05000000000000002,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[0.039884058486813076, 0.28101244676725123, 0.9788727250731202]",0.03646705686270252,0.7293411372540501,0.05060632373853732,0.03445112340467317,4.3496878872649656e-05,2,True,0.1939693267519795,1751,0.05,40
"[-0.0018504200511872577, 0.36595210566493674, 0.9474574323652598]",0.05000000000000004,0.05000000000000004,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.0009519247632837459, 0.33461709541965834, 0.9192970901206606]",0.0421389966205538,0.8427799324110754,0.053877927011080254,0.038669859410785386,2.6987255781841184e-05,2,True,0.23306000307901267,1751,0.05,41
"[-0.007489941385841893, 0.3880874808740698, 0.9736199295393322]",0.05000000000000001,0.05000000000000001,"[0.0100231013425622, 0.34463998813378555, 0.9911015973366575]","[-0.006127574981829396, 0.35730002063251454, 0.9420247729438425]",0.044135900020704756,0.882718000414095,0.07468267338828284,0.044135900020704756,2.4969834346952687e-05,2,True,0.218449541191776,1751,0.05,42
