radius,n_samples,mean_absolute_error,std_absolute_error,min_absolute_error,max_absolute_error,median_absolute_error,mean_relative_error,std_relative_error,min_relative_error,max_relative_error,median_relative_error,mean_max_distance,std_max_distance,success_rate
0.05,100,0.03989588659966518,0.0028381540307327413,0.03528863975362544,0.04462694979808134,0.039706150671446866,0.7979177319933035,0.05676308061465485,0.7057727950725088,0.8925389959616264,0.7941230134289369,0.06455027038460764,0.01328122781504065,1.0
0.1,100,0.03985826065755015,0.0053471608243811685,0.03199312853863346,0.05013124780324186,0.03921704886439847,0.39858260657550154,0.05347160824381168,0.3199312853863346,0.5013124780324185,0.3921704886439846,0.11064223249956998,0.012516903139345715,1.0
0.15,100,0.041285832059458336,0.007462530796205558,0.02818877097244166,0.05698163986488282,0.041715693226610485,0.275238880396389,0.04975020530803705,0.18792513981627773,0.37987759909921864,0.27810462151073667,0.16276287856627245,0.01326885031231764,1.0
0.2,100,0.045269548842549925,0.01304222844254107,0.013200236157452437,0.06617054599689501,0.047102594665629154,0.2263477442127496,0.06521114221270535,0.06600118078726218,0.33085272998447496,0.23551297332814577,0.2146198754278897,0.013631963684317383,1.0
0.25,100,0.04241607243446871,0.018414628843245486,0.0047146756980627775,0.07563713227188722,0.04011232564005423,0.16966428973787487,0.07365851537298196,0.01885870279225111,0.3025485290875488,0.1604493025602169,0.2610131586898806,0.013513005971822074,1.0
0.3,100,0.042783127771976355,0.01871438796886248,0.009460791394378557,0.0848826731242569,0.04063252260908668,0.1426104259065879,0.062381293229541605,0.03153597131459519,0.28294224374752297,0.13544174203028897,0.31149127404893207,0.013353555766799035,1.0
0.35,100,0.049319677821034406,0.026671048443852922,0.0029464494017949596,0.14188056821685233,0.04230510626581659,0.14091336520295542,0.07620299555386549,0.008418426862271313,0.4053730520481496,0.12087173218804742,0.36167683738899475,0.01289390825593042,1.0
0.4,100,0.058488553133677644,0.030932752881848043,0.01459031613219322,0.19487548789050377,0.051584446307002346,0.1462213828341941,0.07733188220462012,0.03647579033048305,0.4871887197262594,0.12896111576750585,0.41185022922402786,0.012817981813395884,1.0
