axis,condition,episode_id,step_0,step_1,step_2,step_3,step_4,step_5,final_cart_err,success_5cm,success_10cm,latent_dist_0,latent_dist_1,latent_dist_2,latent_dist_3,latent_dist_4,latent_dist_5
x,none,0,0.2299687030636974,0.19843433490710474,0.21349852455641125,0.20119413138562292,0.17218219223918133,0.16309237095103157,0.16309237095103157,0,0,0.5663483738899231,0.5311379432678223,0.4839576482772827,0.4629005193710327,0.45129525661468506,0.46091485023498535
x,none,1,0.2299687030636974,0.1985603572025343,0.21521425198136537,0.19581868930092688,0.16996757142764155,0.16293206302051452,0.16293206302051452,0,0,0.5663051009178162,0.5328903198242188,0.48870980739593506,0.45709243416786194,0.45385193824768066,0.4434305727481842
x,none,2,0.2299687030636974,0.1984181179141176,0.21424993641520895,0.19252741850329888,0.17114999609931272,0.16484830718284632,0.16484830718284632,0,0,0.5662477016448975,0.5312420129776001,0.4853317141532898,0.45516934990882874,0.4549977779388428,0.4507140517234802
x,none,3,0.2299687030636974,0.19851378794747035,0.214642415469999,0.20591859551970837,0.17053625541641004,0.16065995050329798,0.16065995050329798,0,0,0.5664143562316895,0.53330397605896,0.48636817932128906,0.4665217101573944,0.4507996141910553,0.4491484463214874
x,none,4,0.2299687030636974,0.19858364126490427,0.2149069857618452,0.20540910906317683,0.16889383606528968,0.16333301425174265,0.16333301425174265,0,0,0.5663235783576965,0.5334200859069824,0.4925267696380615,0.4699862003326416,0.4496420621871948,0.44864556193351746
x,none,5,0.2299687030636974,0.19851235160171482,0.21484905074175825,0.2009981601503839,0.1694782551235258,0.157485227972285,0.157485227972285,0,0,0.5663644075393677,0.5339537858963013,0.49223336577415466,0.46499842405319214,0.45133107900619507,0.45207780599594116
x,none,6,0.2299687030636974,0.19852860006849,0.2141612998198914,0.19546938669092723,0.1628166189231591,0.16756493765236952,0.16756493765236952,0,0,0.5663004517555237,0.5326558947563171,0.4848094582557678,0.45571020245552063,0.450699120759964,0.45645594596862793
x,none,7,0.2299687030636974,0.19831722277417632,0.2142797758095267,0.1904747436276479,0.16893856922390244,0.1631240439948321,0.1631240439948321,0,0,0.566292941570282,0.5323973894119263,0.4869909882545471,0.4513445794582367,0.46140655875205994,0.4401153326034546
x,none,8,0.2299687030636974,0.19842783420945873,0.21308294352651863,0.19847511158781167,0.169135907490134,0.15996579121428736,0.15996579121428736,0,0,0.5662732720375061,0.5305047035217285,0.48402267694473267,0.45861953496932983,0.45893314480781555,0.45671841502189636
x,none,9,0.2299687030636974,0.19850955105506152,0.21455001683425493,0.19707733870782468,0.1732312718526133,0.16151335431065592,0.16151335431065592,0,0,0.5662700533866882,0.5338992476463318,0.48866748809814453,0.4531640410423279,0.45489421486854553,0.45173338055610657
y,none,0,0.20431216009748618,0.18742789834377516,0.10969797333432889,0.10851887846961007,0.09724894495205796,0.09308121537628163,0.09308121537628163,0,1,0.5214419364929199,0.5692259073257446,0.5238284468650818,0.5311732292175293,0.5196529626846313,0.5023645758628845
